Type,Flour,Milk,Sugar,Butter,Egg,Baking Powder,Vanilla,Salt
Muffin,55,28,3,7,5,2,0,0
Muffin,47,24,12,6,9,1,0,0
Muffin,47,23,18,6,4,1,0,0
Muffin,45,11,17,17,8,1,0,0
Muffin,50,25,12,6,5,2,1,0
Muffin,55,27,3,7,5,2,1,0
Muffin,54,27,7,5,5,2,0,0
Muffin,47,26,10,10,4,1,0,0
Muffin,50,17,17,8,6,1,0,0
Muffin,50,17,17,11,4,1,0,0
Cupcake,39,0,26,19,14,1,1,0
Cupcake,42,21,16,10,8,3,0,0
Cupcake,34,17,20,20,5,2,1,0
Cupcake,39,13,17,19,10,1,1,0
Cupcake,38,15,23,15,8,0,1,0
Cupcake,42,18,25,9,5,1,0,0
Cupcake,36,14,21,14,11,2,1,0
Cupcake,38,15,31,8,6,1,1,0
Cupcake,36,16,24,12,9,1,1,0
Cupcake,34,17,23,11,13,0,1,0
Scone,29,3,46,6,0,11,0,6
Scone,19,3,36,3,14,7,14,5
Scone,20,5,52,5,10,3,0,5
Scone,19,6,50,5,6,10,0,3
Scone,19,10,51,5,0,10,0,5
